Sale_ID,Date,Store_ID,Product_ID,Category,Region,Inventory_Level,Units_Sold,Units_Ordered,Price,Discount,Weather_Condition,Promotion,Competitor_Pricing,Seasonality,Epidemic,Source
74,2022-01-01,S002,P0017,Groceries,West,398,373,92,11.71,20,Cloudy,1,10.0,Winter,,retail_store_inventory
75,2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,0,26.08,Winter,0.0,demand_forecasting_dataset
76,2022-01-01,S002,P0018,Groceries,North,234,160,140,58.84,5,Cloudy,0,54.39,Summer,,retail_store_inventory
77,2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,0,74.12,Winter,0.0,demand_forecasting_dataset
78,2022-01-01,S002,P0019,Toys,East,67,15,186,84.99,5,Sunny,1,81.02,Winter,,retail_store_inventory
79,2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,0,110.88,Winter,0.0,demand_forecasting_dataset
80,2022-01-01,S002,P0020,Toys,West,221,101,38,87.1,0,Rainy,1,91.56,Spring,,retail_store_inventory
81,2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,0,15.48,Winter,0.0,demand_forecasting_dataset
82,2022-01-01,S003,P0001,Toys,South,241,147,180,67.21,5,Sunny,1,67.39,Summer,,retail_store_inventory
83,2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,1,45.94,Winter,0.0,demand_forecasting_dataset
84,2022-01-01,S003,P0002,Electronics,West,115,4,169,28.2,10,Sunny,1,25.63,Spring,,retail_store_inventory
85,2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,1,72.09,Winter,0.0,demand_forecasting_dataset
86,2022-01-01,S003,P0003,Groceries,South,375,77,145,56.16,10,Sunny,1,57.16,Spring,,retail_store_inventory
87,2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,0,30.05,Winter,0.0,demand_forecasting_dataset
88,2022-01-01,S003,P0004,Toys,South,153,31,145,89.53,20,Rainy,1,93.6,Winter,,retail_store_inventory
89,2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,0,17.3,Winter,0.0,demand_forecasting_dataset
90,2022-01-01,S003,P0005,Clothing,West,438,325,20,97.95,20,Sunny,0,93.54,Winter,,retail_store_inventory
91,2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,0,50.46,Winter,0.0,demand_forecasting_dataset
92,2022-01-01,S003,P0006,Groceries,North,456,163,22,76.37,5,Rainy,1,71.38,Summer,,retail_store_inventory
93,2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,0,21.62,Winter,0.0,demand_forecasting_dataset
94,2022-01-01,S003,P0007,Electronics,North,189,34,107,86.99,15,Rainy,1,90.5,Summer,,retail_store_inventory
95,2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,0,126.44,Winter,0.0,demand_forecasting_dataset
96,2022-01-01,S003,P0008,Toys,North,223,47,107,66.53,15,Cloudy,1,70.46,Spring,,retail_store_inventory
97,2022-01-01,S003,P0009,Groceries,East,226,96,0,56.32,5,Sunny,0,66.33,Winter,0.0,demand_forecasting_dataset
98,2022-01-01,S003,P0009,Groceries,South,381,15,184,74.86,15,Snowy,1,73.93,Winter,,retail_store_inventory
99,2022-01-01,S003,P0010,Groceries,East,167,70,127,36.21,10,Sunny,0,39.87,Winter,0.0,demand_forecasting_dataset
100,2022-01-01,S003,P0010,Groceries,South,166,126,124,97.09,5,Rainy,1,95.8,Summer,,retail_store_inventory
101,2022-01-01,S003,P0011,Electronics,East,159,157,293,131.16,10,Sunny,0,139.75,Winter,0.0,demand_forecasting_dataset
102,2022-01-01,S003,P0011,Toys,East,292,232,155,56.19,0,Snowy,1,57.85,Winter,,retail_store_inventory
103,2022-01-01,S003,P0012,Furniture,East,126,58,131,105.94,0,Sunny,0,103.35,Winter,0.0,demand_forecasting_dataset
104,2022-01-01,S003,P0012,Electronics,North,311,175,55,90.38,20,Cloudy,0,89.52,Summer,,retail_store_inventory
105,2022-01-01,S003,P0013,Groceries,East,105,105,743,86.78,10,Sunny,0,78.8,Winter,0.0,demand_forecasting_dataset
106,2022-01-01,S003,P0013,Furniture,North,51,17,172,73.98,20,Cloudy,1,76.65,Summer,,retail_store_inventory
107,2022-01-01,S003,P0014,Groceries,East,271,27,0,61.69,25,Sunny,1,53.36,Winter,0.0,demand_forecasting_dataset
108,2022-01-01,S003,P0014,Electronics,South,398,369,26,79.03,5,Rainy,0,82.51,Spring,,retail_store_inventory
109,2022-01-01,S003,P0015,Groceries,East,166,131,500,98.46,10,Sunny,0,104.52,Winter,0.0,demand_forecasting_dataset
110,2022-01-01,S003,P0015,Clothing,West,445,260,24,27.72,5,Snowy,0,23.28,Autumn,,retail_store_inventory
111,2022-01-01,S003,P0016,Electronics,East,292,80,0,94.11,10,Sunny,0,107.33,Winter,0.0,demand_forecasting_dataset
112,2022-01-01,S003,P0016,Groceries,South,487,347,93,98.18,15,Rainy,0,99.58,Winter,,retail_store_inventory
113,2022-01-01,S003,P0017,Furniture,East,204,53,380,112.23,10,Sunny,0,133.9,Winter,0.0,demand_forecasting_dataset
114,2022-01-01,S003,P0017,Clothing,East,429,150,168,27.1,5,Cloudy,1,27.4,Spring,,retail_store_inventory
115,2022-01-01,S003,P0018,Furniture,East,289,56,316,134.95,5,Sunny,0,125.53,Winter,0.0,demand_forecasting_dataset
116,2022-01-01,S003,P0018,Toys,West,204,70,170,97.08,15,Snowy,1,94.88,Winter,,retail_store_inventory
117,2022-01-01,S003,P0019,Groceries,East,201,109,0,59.71,0,Sunny,0,70.74,Winter,0.0,demand_forecasting_dataset
118,2022-01-01,S003,P0019,Clothing,East,330,249,37,26.71,15,Cloudy,1,24.81,Summer,,retail_store_inventory
119,2022-01-01,S003,P0020,Clothing,East,250,41,270,65.81,5,Sunny,0,57.66,Winter,0.0,demand_forecasting_dataset
120,2022-01-01,S003,P0020,Electronics,North,431,370,99,95.85,20,Cloudy,1,95.7,Spring,,retail_store_inventory
121,2022-01-01,S004,P0001,Groceries,West,215,85,287,10.47,0,Snowy,0,11.51,Winter,0.0,demand_forecasting_dataset
122,2022-01-01,S004,P0001,Toys,South,477,271,66,15.62,15,Sunny,0,16.09,Winter,,retail_store_inventory
123,2022-01-01,S004,P0002,Groceries,West,283,67,0,19.12,10,Snowy,1,20.62,Winter,0.0,demand_forecasting_dataset
124,2022-01-01,S004,P0002,Clothing,North,462,180,183,41.13,5,Sunny,0,45.05,Autumn,,retail_store_inventory
125,2022-01-01,S004,P0003,Furniture,West,161,92,407,134.16,20,Snowy,1,117.74,Winter,0.0,demand_forecasting_dataset
126,2022-01-01,S004,P0003,Clothing,West,446,344,27,89.32,20,Cloudy,0,93.0,Autumn,,retail_store_inventory
127,2022-01-01,S004,P0004,Groceries,West,168,88,252,51.64,0,Snowy,0,57.32,Winter,0.0,demand_forecasting_dataset
128,2022-01-01,S004,P0004,Groceries,West,437,0,160,87.23,10,Sunny,0,90.36,Spring,,retail_store_inventory
129,2022-01-01,S004,P0005,Clothing,West,289,197,0,89.23,10,Snowy,0,77.73,Winter,0.0,demand_forecasting_dataset
130,2022-01-01,S004,P0005,Groceries,North,397,200,172,81.72,0,Snowy,1,85.22,Spring,,retail_store_inventory
131,2022-01-01,S004,P0006,Groceries,West,206,48,162,35.33,0,Snowy,0,34.77,Winter,0.0,demand_forecasting_dataset
132,2022-01-01,S004,P0006,Electronics,East,470,382,195,41.35,10,Snowy,0,39.86,Summer,,retail_store_inventory
133,2022-01-01,S004,P0007,Groceries,West,185,43,253,24.34,5,Snowy,0,26.46,Winter,0.0,demand_forecasting_dataset
134,2022-01-01,S004,P0007,Electronics,West,264,190,139,67.26,20,Cloudy,0,64.78,Summer,,retail_store_inventory
135,2022-01-01,S004,P0008,Furniture,West,281,59,0,100.64,0,Snowy,0,118.02,Winter,0.0,demand_forecasting_dataset
136,2022-01-01,S004,P0008,Furniture,South,250,51,137,85.88,20,Snowy,1,86.14,Winter,,retail_store_inventory
137,2022-01-01,S004,P0009,Clothing,West,206,106,299,110.47,5,Snowy,0,122.04,Winter,0.0,demand_forecasting_dataset
138,2022-01-01,S004,P0009,Furniture,North,63,40,73,59.23,10,Rainy,1,61.1,Summer,,retail_store_inventory
139,2022-01-01,S004,P0010,Groceries,West,223,120,597,30.02,0,Snowy,0,29.15,Winter,0.0,demand_forecasting_dataset
140,2022-01-01,S004,P0010,Groceries,East,447,104,96,33.48,15,Cloudy,0,37.15,Summer,,retail_store_inventory
141,2022-01-01,S004,P0011,Clothing,West,195,60,293,52.89,0,Snowy,0,62.29,Winter,0.0,demand_forecasting_dataset
142,2022-01-01,S004,P0011,Electronics,West,205,46,27,54.84,0,Sunny,1,57.76,Spring,,retail_store_inventory
143,2022-01-01,S004,P0012,Electronics,West,111,111,113,118.15,0,Snowy,0,133.46,Winter,0.0,demand_forecasting_dataset
144,2022-01-01,S004,P0012,Electronics,North,349,9,165,14.25,5,Rainy,1,18.56,Spring,,retail_store_inventory
145,2022-01-01,S004,P0013,Groceries,West,136,104,385,20.24,10,Snowy,0,18.9,Winter,0.0,demand_forecasting_dataset
146,2022-01-01,S004,P0013,Furniture,East,191,56,65,61.81,0,Sunny,0,63.92,Autumn,,retail_store_inventory
147,2022-01-01,S004,P0014,Furniture,West,110,52,122,148.46,10,Snowy,1,178.25,Winter,0.0,demand_forecasting_dataset
148,2022-01-01,S004,P0014,Electronics,West,406,63,139,66.94,10,Snowy,1,68.47,Winter,,retail_store_inventory
149,2022-01-01,S004,P0015,Furniture,West,249,42,0,86.47,5,Snowy,0,81.87,Winter,0.0,demand_forecasting_dataset
150,2022-01-01,S004,P0015,Clothing,South,228,181,127,60.54,5,Cloudy,0,65.27,Autumn,,retail_store_inventory
151,2022-01-01,S004,P0016,Furniture,West,155,74,218,110.39,10,Snowy,0,101.16,Winter,0.0,demand_forecasting_dataset
152,2022-01-01,S004,P0016,Groceries,South,263,94,24,94.26,15,Rainy,0,96.74,Summer,,retail_store_inventory
153,2022-01-01,S004,P0017,Clothing,West,232,65,0,84.83,10,Snowy,0,94.7,Winter,0.0,demand_forecasting_dataset
154,2022-01-01,S004,P0017,Electronics,South,203,46,75,25.55,0,Rainy,0,28.07,Winter,,retail_store_inventory
155,2022-01-01,S004,P0018,Furniture,West,165,64,0,141.31,10,Snowy,0,150.73,Winter,0.0,demand_forecasting_dataset
156,2022-01-01,S004,P0018,Groceries,West,143,8,27,16.73,5,Cloudy,1,18.79,Spring,,retail_store_inventory
157,2022-01-01,S004,P0019,Clothing,West,146,125,103,56.86,10,Snowy,0,64.61,Winter,0.0,demand_forecasting_dataset
158,2022-01-01,S004,P0019,Groceries,West,359,172,125,71.2,15,Rainy,1,73.85,Spring,,retail_store_inventory
159,2022-01-01,S004,P0020,Furniture,West,290,52,0,124.97,10,Snowy,0,110.39,Winter,0.0,demand_forecasting_dataset
160,2022-01-01,S004,P0020,Clothing,West,211,68,37,11.5,20,Snowy,0,9.26,Winter,,retail_store_inventory
161,2022-01-01,S005,P0001,Groceries,North,182,75,198,11.46,5,Snowy,0,9.92,Winter,0.0,demand_forecasting_dataset
162,2022-01-01,S005,P0001,Toys,West,111,77,60,70.33,10,Cloudy,0,70.29,Winter,,retail_store_inventory
163,2022-01-01,S005,P0002,Electronics,North,131,131,474,48.68,10,Snowy,1,51.85,Winter,0.0,demand_forecasting_dataset
164,2022-01-01,S005,P0002,Clothing,West,415,298,107,57.15,5,Snowy,1,60.71,Autumn,,retail_store_inventory
165,2022-01-01,S005,P0003,Toys,North,247,145,0,29.57,20,Snowy,1,26.3,Winter,0.0,demand_forecasting_dataset
166,2022-01-01,S005,P0003,Electronics,North,384,64,26,36.17,5,Sunny,0,40.93,Spring,,retail_store_inventory
167,2022-01-01,S005,P0004,Groceries,North,195,143,114,7.45,10,Snowy,0,8.33,Winter,0.0,demand_forecasting_dataset
168,2022-01-01,S005,P0004,Furniture,West,436,300,174,50.77,15,Snowy,1,54.7,Spring,,retail_store_inventory
169,2022-01-01,S005,P0005,Groceries,North,187,126,344,20.02,0,Snowy,0,18.12,Winter,0.0,demand_forecasting_dataset
170,2022-01-01,S005,P0005,Clothing,West,180,21,47,92.86,15,Rainy,1,96.3,Winter,,retail_store_inventory
171,2022-01-01,S005,P0006,Groceries,North,280,59,300,53.49,5,Snowy,0,52.34,Winter,0.0,demand_forecasting_dataset
172,2022-01-01,S005,P0006,Groceries,North,185,176,163,60.76,20,Cloudy,0,61.15,Summer,,retail_store_inventory
173,2022-01-01,S005,P0007,Groceries,North,297,74,0,82.73,0,Snowy,0,79.8,Winter,0.0,demand_forecasting_dataset
174,2022-01-01,S005,P0007,Clothing,South,292,131,140,46.47,15,Snowy,0,50.84,Summer,,retail_store_inventory
175,2022-01-01,S005,P0008,Groceries,North,229,165,0,73.42,0,Snowy,0,84.61,Winter,0.0,demand_forecasting_dataset
176,2022-01-01,S005,P0008,Toys,West,478,317,197,34.08,5,Snowy,1,30.44,Winter,,retail_store_inventory
177,2022-01-01,S005,P0009,Groceries,North,270,59,268,94.75,0,Snowy,0,112.34,Winter,0.0,demand_forecasting_dataset
178,2022-01-01,S005,P0009,Groceries,West,182,97,27,87.81,5,Snowy,0,85.45,Spring,,retail_store_inventory
179,2022-01-01,S005,P0010,Groceries,North,132,132,436,70.86,0,Snowy,0,63.54,Winter,0.0,demand_forecasting_dataset
180,2022-01-01,S005,P0010,Clothing,East,87,8,141,37.04,10,Rainy,1,36.87,Summer,,retail_store_inventory
181,2022-01-01,S005,P0011,Electronics,North,220,17,0,62.12,0,Snowy,0,55.78,Winter,0.0,demand_forecasting_dataset
182,2022-01-01,S005,P0011,Groceries,West,427,104,128,54.12,10,Rainy,1,53.03,Summer,,retail_store_inventory
183,2022-01-01,S005,P0012,Furniture,North,230,71,371,133.86,5,Snowy,0,118.2,Winter,0.0,demand_forecasting_dataset
184,2022-01-01,S005,P0012,Electronics,West,245,87,188,67.64,15,Sunny,0,63.53,Summer,,retail_store_inventory
185,2022-01-01,S005,P0013,Groceries,North,145,82,328,71.03,10,Snowy,0,78.02,Winter,0.0,demand_forecasting_dataset
186,2022-01-01,S005,P0013,Furniture,South,317,238,95,82.18,5,Cloudy,0,87.09,Summer,,retail_store_inventory
187,2022-01-01,S005,P0014,Furniture,North,193,63,219,161.18,10,Snowy,1,156.66,Winter,0.0,demand_forecasting_dataset
188,2022-01-01,S005,P0014,Electronics,South,325,171,43,42.62,20,Cloudy,1,42.01,Autumn,,retail_store_inventory
189,2022-01-01,S005,P0015,Groceries,North,132,108,203,44.36,10,Snowy,0,52.84,Winter,0.0,demand_forecasting_dataset
190,2022-01-01,S005,P0015,Furniture,West,411,250,119,11.54,10,Cloudy,0,11.27,Spring,,retail_store_inventory
191,2022-01-01,S005,P0016,Toys,North,131,59,191,32.84,0,Snowy,0,39.5,Winter,0.0,demand_forecasting_dataset
192,2022-01-01,S005,P0016,Clothing,South,71,11,32,16.3,5,Sunny,0,17.98,Winter,,retail_store_inventory
193,2022-01-01,S005,P0017,Toys,North,159,89,73,33.04,10,Snowy,0,37.53,Winter,0.0,demand_forecasting_dataset
194,2022-01-01,S005,P0017,Electronics,East,388,371,98,98.31,15,Sunny,1,102.42,Spring,,retail_store_inventory
195,2022-01-01,S005,P0018,Clothing,North,245,68,0,22.41,0,Snowy,0,22.24,Winter,0.0,demand_forecasting_dataset
196,2022-01-01,S005,P0018,Furniture,West,161,107,66,48.96,10,Snowy,1,50.03,Spring,,retail_store_inventory
197,2022-01-01,S005,P0019,Furniture,North,202,42,0,119.15,10,Snowy,0,102.4,Winter,0.0,demand_forecasting_dataset
198,2022-01-01,S005,P0019,Groceries,South,235,106,124,88.22,5,Rainy,0,91.16,Spring,,retail_store_inventory
199,2022-01-01,S005,P0020,Toys,North,131,79,105,28.66,10,Snowy,0,34.32,Winter,0.0,demand_forecasting_dataset
200,2022-01-01,S005,P0020,Electronics,South,108,101,52,11.04,10,Snowy,1,9.14,Autumn,,retail_store_inventory
201,2022-01-02,S001,P0001,Electronics,North,93,71,0,65.63,5,Snowy,0,73.66,Winter,0.0,demand_forecasting_dataset
202,2022-01-02,S001,P0001,Groceries,West,116,81,104,27.95,10,Cloudy,0,30.89,Spring,,retail_store_inventory
203,2022-01-02,S001,P0002,Clothing,North,249,116,0,74.44,10,Snowy,0,87.66,Winter,0.0,demand_forecasting_dataset
204,2022-01-02,S001,P0002,Clothing,West,416,163,79,19.78,15,Cloudy,0,18.76,Spring,,retail_store_inventory
205,2022-01-02,S001,P0003,Clothing,North,133,130,0,66.15,0,Snowy,0,74.15,Winter,0.0,demand_forecasting_dataset
206,2022-01-02,S001,P0003,Clothing,South,488,464,163,70.99,10,Snowy,0,72.93,Summer,,retail_store_inventory
207,2022-01-02,S001,P0004,Electronics,North,94,82,183,91.64,10,Snowy,0,105.17,Winter,0.0,demand_forecasting_dataset
208,2022-01-02,S001,P0004,Groceries,East,248,116,107,49.56,5,Snowy,0,50.46,Summer,,retail_store_inventory
209,2022-01-02,S001,P0005,Groceries,North,87,87,487,63.35,0,Snowy,0,61.2,Winter,0.0,demand_forecasting_dataset
210,2022-01-02,S001,P0005,Electronics,East,238,200,40,23.76,15,Sunny,1,19.19,Summer,,retail_store_inventory
211,2022-01-02,S001,P0006,Toys,North,149,77,172,36.93,5,Snowy,0,32.24,Winter,0.0,demand_forecasting_dataset
212,2022-01-02,S001,P0006,Furniture,East,471,58,32,47.56,0,Snowy,1,46.82,Summer,,retail_store_inventory
213,2022-01-02,S001,P0007,Groceries,North,37,37,497,27.22,0,Snowy,0,31.11,Winter,0.0,demand_forecasting_dataset
214,2022-01-02,S001,P0007,Electronics,North,178,56,149,17.1,5,Snowy,1,17.0,Autumn,,retail_store_inventory
215,2022-01-02,S001,P0008,Electronics,North,202,37,0,37.38,5,Snowy,0,42.34,Winter,0.0,demand_forecasting_dataset
216,2022-01-02,S001,P0008,Clothing,East,92,74,121,58.89,5,Cloudy,0,61.56,Autumn,,retail_store_inventory
217,2022-01-02,S001,P0009,Clothing,North,166,133,107,93.21,10,Snowy,0,83.66,Winter,0.0,demand_forecasting_dataset
218,2022-01-02,S001,P0009,Toys,South,99,54,182,99.76,20,Cloudy,0,95.61,Spring,,retail_store_inventory
