date,sku,demand,revenue,units
2022-01-01,SKU-0008,51,3503.9,51
2022-01-01,SKU-0009,106,11124.33,106
2022-01-01,SKU-0009,40,2132.28,40
2022-01-01,SKU-0010,120,3602.4,120
2022-01-01,SKU-0010,104,2959.63,104
2022-01-01,SKU-0011,60,3173.4,60
2022-01-01,SKU-0011,46,2522.64,46
2022-01-01,SKU-0012,111,13114.65,111
2022-01-01,SKU-0012,9,121.84,9
2022-01-01,SKU-0013,104,1894.46,104
2022-01-01,SKU-0013,56,3461.36,56
2022-01-01,SKU-0014,52,6947.93,52
2022-01-01,SKU-0014,63,3795.5,63
2022-01-01,SKU-0015,42,3450.15,42
2022-01-01,SKU-0015,181,10409.85,181
2022-01-01,SKU-0016,74,7351.97,74
2022-01-01,SKU-0016,94,7531.37,94
2022-01-01,SKU-0017,65,4962.56,65
2022-01-01,SKU-0017,46,1175.3,46
2022-01-01,SKU-0018,64,8139.46,64
2022-01-01,SKU-0018,8,127.15,8
2022-01-01,SKU-0019,125,6396.75,125
2022-01-01,SKU-0019,172,10409.44,172
2022-01-01,SKU-0020,52,5848.6,52
2022-01-01,SKU-0020,68,625.6,68
2022-01-01,SKU-0001,75,816.53,75
2022-01-01,SKU-0001,77,4873.87,77
2022-01-01,SKU-0002,131,5739.37,131
2022-01-01,SKU-0002,298,16179.16,298
2022-01-01,SKU-0003,145,3430.12,145
2022-01-01,SKU-0003,64,2199.14,64
2022-01-01,SKU-0004,143,958.82,143
2022-01-01,SKU-0004,300,12946.35,300
2022-01-01,SKU-0005,126,2522.52,126
2022-01-01,SKU-0005,21,1657.55,21
2022-01-01,SKU-0006,59,2998.11,59
2022-01-01,SKU-0006,176,8555.01,176
2022-01-01,SKU-0007,74,6122.02,74
2022-01-01,SKU-0007,131,5174.43,131
2022-01-01,SKU-0008,165,12114.3,165
2022-01-01,SKU-0008,317,10263.19,317
2022-01-01,SKU-0009,59,5590.25,59
2022-01-01,SKU-0009,97,8091.69,97
2022-01-01,SKU-0010,132,9353.52,132
2022-01-01,SKU-0010,8,266.69,8
2022-01-01,SKU-0011,17,1056.04,17
2022-01-01,SKU-0011,104,5065.63,104
2022-01-01,SKU-0012,71,9028.86,71
2022-01-01,SKU-0012,87,5001.98,87
2022-01-01,SKU-0013,82,5242.01,82
2022-01-01,SKU-0013,238,18580.9,238
2022-01-01,SKU-0014,63,9138.91,63
2022-01-01,SKU-0014,171,5830.42,171
2022-01-01,SKU-0015,108,4311.79,108
2022-01-01,SKU-0015,250,2596.5,250
2022-01-01,SKU-0016,59,1937.56,59
2022-01-01,SKU-0016,11,170.34,11
2022-01-01,SKU-0017,89,2646.5,89
2022-01-01,SKU-0017,371,31002.06,371
2022-01-01,SKU-0018,68,1523.88,68
2022-01-01,SKU-0018,107,4714.85,107
2022-01-01,SKU-0019,42,4503.87,42
2022-01-01,SKU-0019,106,8883.75,106
2022-01-01,SKU-0020,79,2037.73,79
2022-01-01,SKU-0020,101,1003.54,101
2022-01-02,SKU-0001,71,4426.74,71
2022-01-02,SKU-0001,81,2037.55,81
2022-01-02,SKU-0002,116,7771.54,116
2022-01-02,SKU-0002,163,2740.52,163
2022-01-02,SKU-0003,130,8599.5,130
2022-01-02,SKU-0003,464,29645.42,464
2022-01-02,SKU-0004,82,6763.03,82
2022-01-02,SKU-0004,116,5461.51,116
2022-01-02,SKU-0005,87,5511.45,87
2022-01-02,SKU-0005,200,4039.2,200
2022-01-02,SKU-0006,77,2701.43,77
2022-01-02,SKU-0006,58,2758.48,58
2022-01-02,SKU-0007,37,1007.14,37
2022-01-02,SKU-0007,56,909.72,56
2022-01-02,SKU-0008,37,1313.91,37
2022-01-02,SKU-0008,74,4139.97,74
2022-01-02,SKU-0009,133,11157.24,133
2022-01-02,SKU-0009,54,4309.63,54
2022-01-02,SKU-0010,105,12193.34,105
2022-01-02,SKU-0010,39,423.85,39
2022-01-02,SKU-0011,152,23965.99,152
2022-01-02,SKU-0011,12,646.08,12
2022-01-02,SKU-0012,168,14556.02,168
2022-01-02,SKU-0012,56,3077.09,56
2022-01-02,SKU-0013,73,2149.7,73
2022-01-02,SKU-0013,31,935.69,31
2022-01-02,SKU-0014,81,5746.14,81
2022-01-02,SKU-0014,25,785.25,25
2022-01-02,SKU-0015,117,1597.4,117
2022-01-02,SKU-0015,198,4444.7,198
2022-01-02,SKU-0016,25,889.5,25
2022-01-02,SKU-0016,77,2334.6,77
2022-01-02,SKU-0017,33,527.47,33
2022-01-02,SKU-0017,165,4417.21,165
2022-01-02,SKU-0018,172,10267.88,172
2022-01-02,SKU-0018,42,2969.36,42
2022-01-02,SKU-0019,35,2938.64,35
2022-01-02,SKU-0019,8,698.82,8
2022-01-02,SKU-0020,93,10033.12,93
2022-01-02,SKU-0020,174,17031.12,174
2022-01-02,SKU-0001,0,0.0,0
2022-01-02,SKU-0001,343,18266.81,343
2022-01-02,SKU-0002,61,1933.7,61
2022-01-02,SKU-0002,71,6094.78,71
2022-01-02,SKU-0003,20,1199.52,20
2022-01-02,SKU-0003,157,13757.6,157
2022-01-02,SKU-0004,40,1394.6,40
2022-01-02,SKU-0004,88,6046.48,88
2022-01-02,SKU-0005,52,4882.2,52
2022-01-02,SKU-0005,64,5302.98,64
2022-01-02,SKU-0006,116,6969.74,116
2022-01-02,SKU-0006,273,21670.74,273
2022-01-02,SKU-0007,95,2850.0,95
2022-01-02,SKU-0007,247,3655.23,247
2022-01-02,SKU-0008,99,2905.65,99
2022-01-02,SKU-0008,42,528.36,42
2022-01-02,SKU-0009,0,0.0,0
2022-01-02,SKU-0009,197,6008.5,197
2022-01-02,SKU-0010,179,13634.43,179
2022-01-02,SKU-0010,374,8850.34,374
2022-01-02,SKU-0011,135,10488.15,135
2022-01-02,SKU-0011,154,13647.48,154
2022-01-02,SKU-0012,75,4183.91,75
2022-01-02,SKU-0012,236,15547.68,236
2022-01-02,SKU-0013,45,921.15,45
2022-01-02,SKU-0013,278,23161.01,278
2022-01-02,SKU-0014,84,10133.42,84
2022-01-02,SKU-0014,27,2420.85,27
2022-01-02,SKU-0015,36,1878.34,36
2022-01-02,SKU-0015,106,7482.54,106
2022-01-02,SKU-0016,0,0.0,0
2022-01-02,SKU-0016,154,8749.82,154
2022-01-02,SKU-0017,63,1059.72,63
2022-01-02,SKU-0017,176,7697.89,176
2022-01-02,SKU-0018,74,1839.05,74
2022-01-02,SKU-0018,124,2351.41,124
2022-01-02,SKU-0019,66,6196.08,66
2022-01-02,SKU-0019,479,37893.69,479
2022-01-02,SKU-0020,77,10348.8,77
2022-01-02,SKU-0020,78,5069.22,78
2022-01-02,SKU-0001,73,1092.96,73
2022-01-02,SKU-0001,114,7539.05,114
2022-01-02,SKU-0002,175,9941.4,175
2022-01-02,SKU-0002,2,175.0,2
2022-01-02,SKU-0003,125,13735.0,125
2022-01-02,SKU-0003,7,496.61,7
2022-01-02,SKU-0004,39,776.1,39
2022-01-02,SKU-0004,54,3557.95,54
2022-01-02,SKU-0005,59,1064.66,59
2022-01-02,SKU-0005,282,10330.22,282
2022-01-02,SKU-0006,70,2848.3,70
2022-01-02,SKU-0006,93,9089.82,93
2022-01-02,SKU-0007,124,1819.08,124
2022-01-02,SKU-0007,85,2722.38,85
2022-01-02,SKU-0008,121,15196.39,121
2022-01-02,SKU-0008,136,4655.08,136
2022-01-02,SKU-0009,78,3689.71,78
2022-01-02,SKU-0009,140,12455.8,140
2022-01-02,SKU-0010,92,2408.93,92
2022-01-02,SKU-0010,79,1171.73,79
2022-01-02,SKU-0011,2,170.42,2
2022-01-02,SKU-0011,106,5568.5,106
2022-01-02,SKU-0012,62,4754.07,62
2022-01-02,SKU-0012,1,26.47,1
2022-01-02,SKU-0013,0,0.0,0
2022-01-02,SKU-0013,203,7548.15,203
2022-01-02,SKU-0014,52,4378.92,52
2022-01-02,SKU-0014,368,24475.68,368
2022-01-02,SKU-0015,35,2826.04,35
2022-01-02,SKU-0015,286,20511.92,286
2022-01-02,SKU-0016,126,15974.28,126
2022-01-02,SKU-0016,69,4785.84,69
2022-01-02,SKU-0017,37,3774.41,37
2022-01-02,SKU-0017,52,1235.1,52
2022-01-02,SKU-0018,65,7486.83,65
2022-01-02,SKU-0018,109,8527.83,109
2022-01-02,SKU-0019,92,4957.33,92
2022-01-02,SKU-0019,50,2669.85,50
2022-01-02,SKU-0020,60,4193.49,60
2022-01-02,SKU-0020,0,0.0,0
2022-01-02,SKU-0001,130,1482.39,130
2022-01-02,SKU-0001,22,1386.79,22
2022-01-02,SKU-0002,121,2868.91,121
2022-01-02,SKU-0002,45,2672.1,45
2022-01-02,SKU-0003,69,9364.47,69
2022-01-02,SKU-0003,89,4288.02,89
2022-01-02,SKU-0004,20,738.72,20
2022-01-02,SKU-0004,209,15842.2,209
2022-01-02,SKU-0005,92,6941.95,92
2022-01-02,SKU-0005,4,231.38,4
2022-01-02,SKU-0006,149,5796.47,149
2022-01-02,SKU-0006,47,656.8,47
2022-01-02,SKU-0007,142,5232.7,142
2022-01-02,SKU-0007,115,3424.82,115
2022-01-02,SKU-0008,28,2242.11,28
2022-01-02,SKU-0008,27,2266.31,27
2022-01-02,SKU-0009,100,10815.3,100
2022-01-02,SKU-0009,90,892.8,90
2022-01-02,SKU-0010,103,1961.94,103
2022-01-02,SKU-0010,206,16110.95,206
2022-01-02,SKU-0011,130,6278.02,130
2022-01-02,SKU-0011,328,24172.29,328
2022-01-02,SKU-0012,90,7217.78,90
2022-01-02,SKU-0012,155,4636.36,155
2022-01-02,SKU-0013,32,798.4,32
2022-01-02,SKU-0013,184,14133.96,184
2022-01-02,SKU-0014,58,10166.24,58
2022-01-02,SKU-0014,16,1322.24,16
2022-01-02,SKU-0015,72,4315.39,72
2022-01-02,SKU-0015,90,7467.39,90
2022-01-02,SKU-0016,67,8221.57,67
2022-01-02,SKU-0016,178,10930.98,178
2022-01-02,SKU-0017,99,11606.76,99
2022-01-02,SKU-0017,256,19757.06,256
2022-01-02,SKU-0018,94,15099.74,94
2022-01-02,SKU-0018,27,2411.91,27
2022-01-02,SKU-0019,124,7884.35,124
2022-01-02,SKU-0019,67,3188.66,67
2022-01-02,SKU-0020,56,6112.68,56
2022-01-02,SKU-0020,84,5215.77,84
2022-01-02,SKU-0001,81,947.7,81
2022-01-02,SKU-0001,67,4295.74,67
2022-01-02,SKU-0002,0,0.0,0
2022-01-02,SKU-0002,15,891.68,15
2022-01-02,SKU-0003,87,2280.88,87
2022-01-02,SKU-0003,333,21546.43,333
2022-01-02,SKU-0004,77,539.85,77
2022-01-02,SKU-0004,56,3049.2,56
2022-01-02,SKU-0005,61,840.52,61
2022-01-02,SKU-0005,165,9467.04,165
2022-01-02,SKU-0006,122,6239.93,122
2022-01-02,SKU-0006,54,3176.74,54
2022-01-02,SKU-0007,3,170.16,3
2022-01-02,SKU-0007,93,5259.34,93
2022-01-02,SKU-0008,64,3385.15,64
2022-01-02,SKU-0008,250,13502.25,250
2022-01-02,SKU-0009,80,8242.4,80
2022-01-02,SKU-0009,90,6324.48,90
2022-01-02,SKU-0010,0,0.0,0
2022-01-02,SKU-0010,83,3218.82,83
2022-01-02,SKU-0011,51,2332.54,51
2022-01-02,SKU-0011,16,390.18,16
2022-01-02,SKU-0012,117,13796.41,117
2022-01-02,SKU-0012,87,2685.86,87
2022-01-02,SKU-0013,63,4518.68,63
2022-01-02,SKU-0013,241,13276.81,241
2022-01-02,SKU-0014,47,7154.72,47
2022-01-02,SKU-0014,286,3351.92,286
2022-01-02,SKU-0015,24,927.38,24
2022-01-02,SKU-0015,60,3795.6,60
2022-01-02,SKU-0016,72,2529.36,72
2022-01-02,SKU-0016,437,16210.08,437
2022-01-02,SKU-0017,61,1832.96,61
2022-01-02,SKU-0017,377,25590.76,377
2022-01-02,SKU-0018,177,4554.39,177
2022-01-02,SKU-0018,83,3319.38,83
2022-01-02,SKU-0019,37,3976.35,37
2022-01-02,SKU-0019,203,12477.19,203
2022-01-02,SKU-0020,56,1341.65,56
2022-01-02,SKU-0020,183,15473.57,183
2022-01-03,SKU-0001,142,8273.98,142
2022-01-03,SKU-0001,5,250.8,5
2022-01-03,SKU-0002,92,7205.44,92
2022-01-03,SKU-0002,199,10749.98,199
2022-01-03,SKU-0003,3,138.51,3
2022-01-03,SKU-0003,176,4123.15,176
2022-01-03,SKU-0004,55,4793.42,55
2022-01-03,SKU-0004,214,2180.66,214
2022-01-03,SKU-0005,0,0.0,0
2022-01-03,SKU-0005,165,15764.1,165
2022-01-03,SKU-0006,72,2225.84,72
2022-01-03,SKU-0006,9,492.91,9
2022-01-03,SKU-0007,0,0.0,0
2022-01-03,SKU-0007,140,9839.2,140
2022-01-03,SKU-0008,56,2371.6,56
2022-01-03,SKU-0008,177,9070.01,177
2022-01-03,SKU-0009,88,8632.8,88
2022-01-03,SKU-0009,217,10662.51,217
2022-01-03,SKU-0010,17,2356.88,17
2022-01-03,SKU-0010,47,4193.62,47
2022-01-03,SKU-0011,62,8494.43,62
2022-01-03,SKU-0011,3,181.56,3
2022-01-03,SKU-0012,165,11725.56,165
2022-01-03,SKU-0012,2,147.78,2
2022-01-03,SKU-0013,47,1398.25,47
2022-01-03,SKU-0013,18,1346.38,18
2022-01-03,SKU-0014,50,3870.77,50
2022-01-03,SKU-0014,242,7030.58,242
2022-01-03,SKU-0015,92,1511.56,92
2022-01-03,SKU-0015,228,10705.28,228
2022-01-03,SKU-0016,0,0.0,0
2022-01-03,SKU-0016,31,2466.62,31
2022-01-03,SKU-0017,59,1341.66,59
2022-01-03,SKU-0017,16,1493.4,16
2022-01-03,SKU-0018,134,9664.08,134
2022-01-03,SKU-0018,20,1492.07,20
2022-01-03,SKU-0019,48,4502.3,48
2022-01-03,SKU-0019,193,10983.63,193
2022-01-03,SKU-0020,85,6040.31,85
2022-01-03,SKU-0020,118,3334.21,118
2022-01-03,SKU-0001,0,0.0,0
2022-01-03,SKU-0001,96,4615.68,96
2022-01-03,SKU-0002,64,2044.1,64
2022-01-03,SKU-0002,48,1915.56,48
2022-01-03,SKU-0003,0,0.0,0
2022-01-03,SKU-0003,130,9822.8,130
2022-01-03,SKU-0004,9,340.2,9
2022-01-03,SKU-0004,11,270.07,11
2022-01-03,SKU-0005,0,0.0,0
2022-01-03,SKU-0005,313,9308.62,313
2022-01-03,SKU-0006,140,7041.3,140
2022-01-03,SKU-0006,352,9242.82,352
2022-01-03,SKU-0007,49,1367.1,49
2022-01-03,SKU-0007,265,15240.94,265
2022-01-03,SKU-0008,126,3846.78,126
2022-01-03,SKU-0008,11,579.64,11
2022-01-03,SKU-0009,134,8228.54,134
2022-01-03,SKU-0009,191,11190.69,191
2022-01-03,SKU-0010,116,8986.75,116
2022-01-03,SKU-0010,185,17663.8,185
2022-01-03,SKU-0011,22,2416.04,22
2022-01-03,SKU-0011,143,4325.46,143
2022-01-03,SKU-0012,44,2465.76,44
2022-01-03,SKU-0012,85,3725.55,85
2022-01-03,SKU-0013,14,228.19,14
2022-01-03,SKU-0013,270,16011.27,270
2022-01-03,SKU-0014,0,0.0,0
2022-01-03,SKU-0014,233,4746.21,233
2022-01-03,SKU-0015,0,0.0,0
2022-01-03,SKU-0015,187,8648.75,187
2022-01-03,SKU-0016,113,5890.12,113
2022-01-03,SKU-0016,39,2518.07,39
2022-01-03,SKU-0017,18,367.92,18
2022-01-03,SKU-0017,234,4332.04,234
2022-01-03,SKU-0018,96,2517.7,96
2022-01-03,SKU-0018,213,5091.55,213
2022-01-03,SKU-0019,16,1474.1,16
2022-01-03,SKU-0019,55,3458.56,55
2022-01-03,SKU-0020,6,373.41,6
2022-01-03,SKU-0020,22,891.4,22
2022-01-03,SKU-0001,117,1982.8,117
2022-01-03,SKU-0001,100,7459.2,100
2022-01-03,SKU-0002,59,3567.14,59
2022-01-03,SKU-0002,353,6128.08,353
2022-01-03,SKU-0003,162,14890.55,162
2022-01-03,SKU-0003,255,8710.8,255
2022-01-03,SKU-0004,42,789.26,42
2022-01-03,SKU-0004,154,11737.8,154
2022-01-03,SKU-0005,48,725.42,48
2022-01-03,SKU-0005,147,9668.19,147
2022-01-03,SKU-0006,27,657.06,27
2022-01-03,SKU-0006,342,29468.77,342
2022-01-03,SKU-0007,0,0.0,0
2022-01-03,SKU-0007,54,5340.6,54
2022-01-03,SKU-0008,114,12690.59,114
2022-01-03,SKU-0008,289,10098.67,289
2022-01-03,SKU-0009,126,6455.86,126
2022-01-03,SKU-0009,179,7530.53,179
2022-01-03,SKU-0010,127,6323.27,127
2022-01-03,SKU-0010,175,16780.75,175
2022-01-03,SKU-0011,62,6213.36,62
2022-01-03,SKU-0011,209,16702.03,209
2022-01-03,SKU-0012,137,9605.07,137
2022-01-03,SKU-0012,109,6209.51,109
2022-01-03,SKU-0013,0,0.0,0
2022-01-03,SKU-0013,43,2116.89,43
2022-01-03,SKU-0014,64,5428.83,64
2022-01-03,SKU-0014,58,1141.61,58
2022-01-03,SKU-0015,0,0.0,0
2022-01-03,SKU-0015,399,24271.17,399
2022-01-03,SKU-0016,86,5651.49,86
2022-01-03,SKU-0016,95,4315.28,95
2022-01-03,SKU-0017,51,5829.81,51
2022-01-03,SKU-0017,296,21404.94,296
2022-01-03,SKU-0018,43,5134.44,43
2022-01-03,SKU-0018,105,9346.05,105
2022-01-03,SKU-0019,95,6179.75,95
2022-01-03,SKU-0019,103,4524.58,103
2022-01-03,SKU-0020,149,9181.98,149
2022-01-03,SKU-0020,131,1820.57,131
2022-01-03,SKU-0001,0,0.0,0
2022-01-03,SKU-0001,66,4691.64,66
2022-01-03,SKU-0002,75,1254.15,75
2022-01-03,SKU-0002,163,13295.91,163
2022-01-03,SKU-0003,0,0.0,0
2022-01-03,SKU-0003,98,3940.78,98
2022-01-03,SKU-0004,54,2970.0,54
2022-01-03,SKU-0004,150,9016.5,150
2022-01-03,SKU-0005,125,7616.0,125
2022-01-03,SKU-0005,15,295.56,15
2022-01-03,SKU-0006,92,2017.56,92
2022-01-03,SKU-0006,36,1241.8,36
2022-01-03,SKU-0007,0,0.0,0
2022-01-03,SKU-0007,303,2925.77,303
2022-01-03,SKU-0008,86,7613.06,86
2022-01-03,SKU-0008,209,11869.11,209
2022-01-03,SKU-0009,0,0.0,0
2022-01-03,SKU-0009,69,1701.26,69
2022-01-03,SKU-0010,0,0.0,0
2022-01-03,SKU-0010,143,3393.39,143
2022-01-03,SKU-0011,5,314.24,5
2022-01-03,SKU-0011,239,6695.7,239
2022-01-03,SKU-0012,94,8080.71,94
2022-01-03,SKU-0012,192,12145.34,192
2022-01-03,SKU-0013,0,0.0,0
2022-01-03,SKU-0013,23,1072.72,23
2022-01-03,SKU-0014,61,8329.98,61
2022-01-03,SKU-0014,165,9995.7,165
2022-01-03,SKU-0015,67,5125.5,67
2022-01-03,SKU-0015,85,6245.8,85
2022-01-03,SKU-0016,14,1469.79,14
2022-01-03,SKU-0016,79,1150.4,79
2022-01-03,SKU-0017,98,9775.5,98
2022-01-03,SKU-0017,33,1080.49,33
2022-01-03,SKU-0018,111,18494.49,111
2022-01-03,SKU-0018,270,12671.1,270
2022-01-03,SKU-0019,82,4591.18,82
2022-01-03,SKU-0019,1,80.41,1
2022-01-03,SKU-0020,71,5914.48,71
2022-01-03,SKU-0020,149,11363.34,149
2022-01-03,SKU-0001,98,905.47,98
2022-01-03,SKU-0001,3,108.9,3
2022-01-03,SKU-0002,0,0.0,0
2022-01-03,SKU-0002,59,4358.45,59
2022-01-03,SKU-0003,99,2631.12,99
2022-01-03,SKU-0003,15,556.8,15
2022-01-03,SKU-0004,48,275.18,48
2022-01-03,SKU-0004,351,19926.97,351
2022-01-03,SKU-0005,126,1531.15,126
2022-01-03,SKU-0005,66,3186.48,66
2022-01-03,SKU-0006,99,4530.24,99
2022-01-03,SKU-0006,62,2266.04,62
2022-01-03,SKU-0007,57,4205.29,57
2022-01-03,SKU-0007,77,4653.07,77
2022-01-03,SKU-0008,38,1965.64,38
2022-01-03,SKU-0008,177,16325.68,177
2022-01-03,SKU-0009,69,6828.93,69
2022-01-03,SKU-0009,349,16559.35,349
2022-01-03,SKU-0010,0,0.0,0
2022-01-03,SKU-0010,74,853.07,74
2022-01-03,SKU-0011,73,4978.75,73
2022-01-03,SKU-0011,40,2965.6,40
2022-01-03,SKU-0012,42,5414.09,42
2022-01-03,SKU-0012,72,2703.74,72
2022-01-03,SKU-0013,0,0.0,0
2022-01-03,SKU-0013,190,4158.72,190
2022-01-03,SKU-0014,83,14778.15,83
2022-01-03,SKU-0014,263,7000.8,263
2022-01-03,SKU-0015,80,3828.88,80
2022-01-03,SKU-0015,126,8751.46,126
2022-01-03,SKU-0016,0,0.0,0
2022-01-03,SKU-0016,17,1297.01,17
2022-01-03,SKU-0017,82,3294.76,82
2022-01-03,SKU-0017,19,705.89,19
2022-01-03,SKU-0018,65,1095.71,65
2022-01-03,SKU-0018,36,1383.12,36
2022-01-03,SKU-0019,78,9590.02,78
2022-01-03,SKU-0019,207,9924.41,207
2022-01-03,SKU-0020,50,1156.5,50
2022-01-03,SKU-0020,91,5771.4,91
2022-01-04,SKU-0001,42,2330.75,42
2022-01-04,SKU-0001,58,3839.48,58
2022-01-04,SKU-0002,113,7895.31,113
2022-01-04,SKU-0002,91,6823.82,91
2022-01-04,SKU-0003,0,0.0,0
2022-01-04,SKU-0003,70,627.72,70
2022-01-04,SKU-0004,58,4853.76,58
2022-01-04,SKU-0004,0,0.0,0
2022-01-04,SKU-0005,0,0.0,0
2022-01-04,SKU-0005,32,2005.92,32
2022-01-04,SKU-0006,0,0.0,0
